"УИК","ТИК","избирателей в списках","действительных бюллетеней","КПРФ","Зеленые","ЛДПР","Новые Люди","Единая Россия","Справедливая Россия","Яблоко","Партия Роста","РПСС","Коммунисты России","Гражданская платформа","Зеленая Альтернатива","Родина","Партия пенсионеров","явка","процент ЕР","сумма не-ЕР","процент не-ЕР"
"1","Волжский",2026,666,206,16,43,50,219,51,30,2,7,10,3,6,10,13,"32.8726554787759","32.8828828828829",447,"67.1171171171171"
"4","Волжский",1067,383,113,11,15,20,133,35,21,0,7,2,0,8,5,13,"35.8950328022493","34.7258485639687",250,"65.2741514360313"
"5","Волжский",1623,606,182,11,34,32,224,52,26,2,13,9,0,2,6,13,"37.3382624768946","36.963696369637",382,"63.036303630363"
"6","Волжский",2277,1037,262,21,50,57,475,62,37,7,8,9,2,13,5,29,"45.542380324989","45.8052073288332",562,"54.1947926711668"
"7","Волжский",1326,567,148,12,22,28,229,51,23,4,9,11,2,8,7,13,"42.7601809954751","40.3880070546737",338,"59.6119929453263"
"8","Волжский",1265,431,138,5,27,21,158,42,17,0,5,3,0,6,1,8,"34.0711462450593","36.6589327146172",273,"63.3410672853828"
"9","Волжский",997,366,63,1,4,10,239,20,14,2,3,0,0,0,3,7,"36.7101303911735","65.3005464480874",127,"34.6994535519126"
"10","Волжский",1526,485,150,4,22,17,209,29,16,2,6,5,0,4,9,12,"31.7824377457405","43.0927835051546",276,"56.9072164948454"
"11","Волжский",1564,652,102,8,30,19,382,62,17,1,3,8,1,3,5,11,"41.6879795396419","58.5889570552147",270,"41.4110429447853"
"12","Волжский",939,369,99,6,16,22,149,28,20,3,10,3,0,1,2,10,"39.297124600639","40.3794037940379",220,"59.6205962059621"
"13","Волжский",2292,650,214,9,29,41,225,57,20,0,9,7,0,7,14,18,"28.3595113438045","34.6153846153846",425,"65.3846153846154"
"14","Волжский",2099,791,264,8,35,30,346,45,5,3,8,9,0,8,6,24,"37.6846117198666","43.7420986093552",445,"56.2579013906447"
"15","Волжский",2174,790,235,12,27,43,350,52,18,3,5,10,1,12,7,15,"36.3385464581417","44.3037974683544",440,"55.6962025316456"
"16","Волжский",2267,795,252,5,26,56,300,70,12,0,11,12,0,12,10,29,"35.0683722981914","37.7358490566038",495,"62.2641509433962"
"17","Волжский",2027,648,240,3,42,38,259,42,9,0,2,3,0,3,4,3,"31.9684262456833","39.9691358024691",389,"60.0308641975309"
"18","Волжский",1267,423,153,12,16,17,154,29,14,3,3,4,0,2,7,9,"33.3859510655091","36.4066193853428",269,"63.5933806146572"
"19","Волжский",2864,879,336,8,42,68,304,48,13,1,5,11,0,7,13,23,"30.6913407821229","34.584755403868",575,"65.415244596132"
"20","Волжский",2565,916,247,8,55,72,343,74,30,5,12,19,2,8,13,28,"35.7115009746589","37.4454148471616",573,"62.5545851528384"
"21","Волжский",1513,472,138,5,27,25,167,51,18,0,4,12,1,5,6,13,"31.1962987442168","35.3813559322034",305,"64.6186440677966"
"22","Волжский",1257,365,118,1,10,20,141,36,18,0,4,5,0,2,2,8,"29.0373906125696","38.6301369863014",224,"61.3698630136986"
"25","Волжский",1136,394,130,10,28,19,151,24,3,3,5,2,1,8,3,7,"34.6830985915493","38.3248730964467",243,"61.6751269035533"
"26","Волжский",1573,460,142,9,18,20,207,29,14,0,4,3,0,2,2,10,"29.2434837889383",45,253,55
