"year","city","temp"
1850,"Baghdad","33.436"
1850,"Calcutta","29.244"
1850,"Delhi","31.56833333333333"
1850,"Mashhad","23.158"
1850,"Moscow","18.205333333333332"
1851,"Baghdad","34.39333333333334"
1851,"Calcutta","29.221333333333334"
1851,"Delhi","31.361333333333334"
1851,"Mashhad","23.634666666666664"
1851,"Moscow","16.669666666666668"
1852,"Baghdad","33.661"
1852,"Calcutta","28.947000000000003"
1852,"Delhi","31.271333333333335"
1852,"Mashhad","23.391333333333336"
1852,"Moscow","16.361666666666668"
1853,"Baghdad","34.169"
1853,"Calcutta","29.714"
1853,"Delhi","31.903333333333336"
1853,"Mashhad","23.652666666666665"
1853,"Moscow","16.351"
1854,"Baghdad","32.80733333333333"
1854,"Calcutta","29.35766666666667"
1854,"Delhi","31.608666666666668"
1854,"Mashhad","22.68733333333334"
1854,"Moscow","17.659000000000002"
1855,"Baghdad","33.88066666666666"
1855,"Calcutta","29.20566666666667"
1855,"Delhi","31.501333333333335"
1855,"Mashhad","23.33966666666667"
1855,"Moscow","17.307000000000002"
1856,"Baghdad","34.10333333333333"
1856,"Calcutta","28.642666666666667"
1856,"Delhi","31.040666666666667"
1856,"Mashhad","23.453000000000003"
1856,"Moscow","15.209999999999999"
1857,"Baghdad","32.979000000000006"
1857,"Calcutta","28.38233333333333"
1857,"Delhi","30.727999999999998"
1857,"Mashhad","22.992666666666665"
1857,"Moscow","15.535000000000002"
1858,"Baghdad","34.17666666666667"
1858,"Calcutta","28.796666666666667"
1858,"Mashhad","23.449333333333332"
1858,"Moscow","17.02"
1859,"Baghdad","33.684"
1859,"Calcutta","28.900666666666666"
1859,"Mashhad","23.64633333333333"
1859,"Moscow","17.097333333333335"
1860,"Baghdad","34.84766666666667"
1860,"Calcutta","29.145666666666667"
1860,"Mashhad","24.171666666666667"
1860,"Moscow","17.816999999999997"
1861,"Baghdad","33.16833333333333"
1861,"Calcutta","28.91033333333333"
1861,"Mashhad","22.98266666666667"
1861,"Moscow","17.27933333333333"
1862,"Baghdad","33.60433333333334"
1862,"Mashhad","23.248333333333335"
1862,"Moscow","15.764000000000001"
1863,"Baghdad","33.336666666666666"
1863,"Calcutta","28.851333333333333"
1863,"Mashhad","23.393"
1863,"Moscow","15.630333333333333"
1864,"Baghdad","33.56166666666667"
1864,"Calcutta","29.072333333333333"
1864,"Mashhad","23.913666666666668"
1864,"Moscow","17.652333333333335"
1865,"Baghdad","33.82266666666667"
1865,"Calcutta","29.266333333333332"
1865,"Mashhad","23.374666666666666"
1865,"Moscow","15.761666666666668"
1866,"Baghdad","33.82666666666667"
1866,"Calcutta","29.215"
1866,"Mashhad","23.51733333333333"
1866,"Moscow","17.09266666666667"
1867,"Baghdad","33.202000000000005"
1867,"Calcutta","29.19333333333333"
1867,"Mashhad","23.157333333333337"
1867,"Moscow","15.981"
1868,"Baghdad","33.524"
1868,"Calcutta","29.154666666666667"
1868,"Mashhad","23.080333333333332"
1868,"Moscow","17.297"
1869,"Baghdad","34.61633333333334"
1869,"Calcutta","29.029333333333337"
1869,"Mashhad","24.136666666666667"
1869,"Moscow","17.722333333333335"
1870,"Baghdad","33.34866666666667"
1870,"Calcutta","28.715999999999998"
1870,"Delhi","31.34466666666667"
1870,"Mashhad","23.529666666666667"
1870,"Moscow","15.445666666666668"
1871,"Baghdad","33.16866666666667"
1871,"Calcutta","29.19633333333333"
1871,"Delhi","31.45866666666667"
1871,"Mashhad","23.279666666666667"
1871,"Moscow","16.721333333333334"
1872,"Baghdad","33.77766666666667"
1872,"Calcutta","29.098333333333333"
1872,"Delhi","31.343333333333334"
1872,"Mashhad","23.472333333333335"
1872,"Moscow","16.833"
1873,"Baghdad","33.448"
1873,"Calcutta","29.310333333333332"
1873,"Delhi","31.583000000000002"
1873,"Mashhad","23.34"
1873,"Moscow","16.892"
1874,"Baghdad","33.24133333333334"
1874,"Calcutta","29.21166666666667"
1874,"Delhi","31.491333333333333"
1874,"Mashhad","23.163"
1874,"Moscow","15.593333333333334"
1875,"Baghdad","33.562000000000005"
1875,"Calcutta","29.089"
1875,"Delhi","31.701999999999998"
1875,"Mashhad","24.040666666666667"
1875,"Moscow","16.833000000000002"
1876,"Baghdad","33.771"
1876,"Calcutta","29.176333333333332"
1876,"Delhi","31.970333333333333"
1876,"Mashhad","23.577"
1876,"Moscow","17.503666666666668"
1877,"Baghdad","33.931000000000004"
1877,"Calcutta","29.343999999999998"
1877,"Delhi","32.871"
1877,"Mashhad","23.51533333333333"
1877,"Moscow","15.757333333333333"
1878,"Baghdad","34.993"
1878,"Calcutta","29.885666666666665"
1878,"Delhi","32.59433333333333"
1878,"Mashhad","24.069666666666667"
1878,"Moscow","15.72166666666667"
1879,"Baghdad","34.181333333333335"
1879,"Calcutta","28.911"
1879,"Delhi","30.808666666666667"
1879,"Mashhad","23.549666666666667"
1879,"Moscow","15.620666666666667"
1880,"Baghdad","33.660666666666664"
1880,"Calcutta","28.850666666666665"
1880,"Delhi","31.61766666666667"
1880,"Mashhad","23.261"
1880,"Moscow","16.546000000000003"
1881,"Baghdad","33.73233333333334"
1881,"Calcutta","28.957333333333334"
1881,"Delhi","31.051666666666666"
1881,"Mashhad","23.203333333333333"
1881,"Moscow","16.165333333333333"
1882,"Baghdad","33.800000000000004"
1882,"Calcutta","28.88"
1882,"Delhi","30.59266666666667"
1882,"Mashhad","23.692333333333334"
1882,"Moscow","17.860333333333333"
1883,"Baghdad","34.483000000000004"
1883,"Calcutta","28.954333333333334"
1883,"Delhi","31.809"
1883,"Mashhad","24.23933333333333"
1883,"Moscow","16.884666666666668"
1884,"Baghdad","33.443000000000005"
1884,"Calcutta","28.821"
1884,"Delhi","31.089333333333332"
1884,"Mashhad","22.832666666666668"
1884,"Moscow","15.427000000000001"
1885,"Baghdad","33.68866666666667"
1885,"Calcutta","29.089"
1885,"Delhi","30.821"
1885,"Mashhad","23.087999999999997"
1885,"Moscow","16.756666666666668"
1886,"Baghdad","33.818666666666665"
1886,"Calcutta","29.162666666666667"
1886,"Delhi","30.805333333333337"
